Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
2016-12-21;208.45;212.23;207.41;207.7;5207622.0;0.0;1.0;208.45;212.23;207.41;207.7;5207622.0
2016-12-22;208.22;209.99;206.5;208.45;3111108.0;0.0;1.0;208.22;209.99;206.5;208.45;3111108.0
2016-12-23;208.0;213.45;207.71;213.34;4670464.0;0.0;1.0;208.0;213.45;207.71;213.34;4670464.0
2016-12-27;214.88;222.25;214.42;219.53;5915732.0;0.0;1.0;214.88;222.25;214.42;219.53;5915732.0
2016-12-28;221.53;223.8;217.2;219.74;3782456.0;0.0;1.0;221.53;223.8;217.2;219.74;3782456.0
2016-12-29;218.56;219.2;214.1225;214.68;4044968.0;0.0;1.0;218.56;219.2;214.1225;214.68;4044968.0
2016-12-30;216.3;217.5;211.68;213.69;4642620.0;0.0;1.0;216.3;217.5;211.68;213.69;4642620.0
2017-01-03;214.86;220.33;210.96;216.99;5923254.0;0.0;1.0;214.86;220.33;210.96;216.99;5923254.0
2017-01-04;214.75;228.0;214.31;226.99;11213471.0;0.0;1.0;214.75;228.0;214.31;226.99;11213471.0
2017-01-05;226.42;227.48;221.95;226.75;5911695.0;0.0;1.0;226.42;227.48;221.95;226.75;5911695.0
2017-01-06;226.93;230.31;225.45;229.01;5527893.0;0.0;1.0;226.93;230.31;225.45;229.01;5527893.0
2017-01-09;228.97;231.92;228.0;231.28;3979484.0;0.0;1.0;228.97;231.92;228.0;231.28;3979484.0
2017-01-10;232.0;232.0;226.89;229.87;3659955.0;0.0;1.0;232.0;232.0;226.89;229.87;3659955.0
2017-01-11;229.07;229.98;226.68;229.73;3650825.0;0.0;1.0;229.07;229.98;226.68;229.73;3650825.0
2017-01-12;229.06;230.7;225.58;229.59;3790229.0;0.0;1.0;229.06;230.7;225.58;229.59;3790229.0
2017-01-13;230.0;237.85;229.59;237.75;6092960.0;0.0;1.0;230.0;237.85;229.59;237.75;6092960.0
2017-01-17;236.7;239.96;234.37;235.58;4617522.0;0.0;1.0;236.7;239.96;234.37;235.58;4617522.0
2017-01-18;236.65;239.71;235.58;238.36;3768967.0;0.0;1.0;236.65;239.71;235.58;238.36;3768967.0
2017-01-19;247.25;248.68;240.75;243.76;7732303.0;0.0;1.0;247.25;248.68;240.75;243.76;7732303.0
2017-01-20;245.46;246.0;243.01;244.73;4204275.0;0.0;1.0;245.46;246.0;243.01;244.73;4204275.0
2017-01-23;245.85;250.8899;245.5;248.92;6262938.0;0.0;1.0;245.85;250.8899;245.5;248.92;6262938.0
2017-01-24;250.0;254.8;249.65;254.61;4965451.0;0.0;1.0;250.0;254.8;249.65;254.61;4965451.0
2017-01-25;257.31;258.46;251.8;254.47;5146361.0;0.0;1.0;257.31;258.46;251.8;254.47;5146361.0
2017-01-26;254.29;255.74;250.75;252.51;3152123.0;0.0;1.0;254.29;255.74;250.75;252.51;3152123.0
2017-01-27;251.38;253.0;248.52;252.95;3166336.0;0.0;1.0;251.38;253.0;248.52;252.95;3166336.0
2017-01-30;252.53;255.2899;247.1;250.63;3801074.0;0.0;1.0;252.53;255.2899;247.1;250.63;3801074.0
2017-01-31;249.24;255.89;247.7;251.93;4116104.0;0.0;1.0;249.24;255.89;247.7;251.93;4116104.0
2017-02-01;253.05;253.2;249.05;249.24;3958829.0;0.0;1.0;253.05;253.2;249.05;249.24;3958829.0
2017-02-02;248.34;252.42;247.71;251.55;2499775.0;0.0;1.0;248.34;252.42;247.71;251.55;2499775.0
2017-02-03;251.91;252.179;249.68;251.33;2186723.0;0.0;1.0;251.91;252.179;249.68;251.33;2186723.0
2017-02-06;251.0;257.82;250.63;257.77;3562517.0;0.0;1.0;251.0;257.82;250.63;257.77;3562517.0
2017-02-07;258.19;260.0;256.42;257.48;4244775.0;0.0;1.0;258.19;260.0;256.42;257.48;4244775.0
2017-02-08;257.35;263.36;256.2;262.08;3933014.0;0.0;1.0;257.35;263.36;256.2;262.08;3933014.0
